salesperson_sk,salesperson_id,salesperson_name,salesperson_role
1063,SP01063,Kim Horton,Sales Associate
1064,SP01064,Kevin Yates,Salesperson
1065,SP01065,Christopher Mckenzie,Salesperson
1068,SP01068,Kevin Mcintosh,Sales Associate
1069,SP01069,Maria Reeves,Manager
1070,SP01070,Emily Stewart,Sales Associate
1071,SP01071,Joseph Martinez,Salesperson
1073,SP01073,Shawn Garcia,Manager
1074,SP01074,Debbie Herring,Sales Associate
1078,SP01078,Travis Bryan,Manager
1081,SP01081,Roger Reid,Senior Salesperson
1083,SP01083,Dennis Davis,Manager
1084,SP01084,Brooke Ramirez,Salesperson
1085,SP01085,Craig Bailey,Senior Salesperson
1087,SP01087,Lisa Noble,Senior Salesperson
1089,SP01089,Kathryn Casey,Manager
1090,SP01090,Darlene Mathis,Sales Associate
1091,SP01091,Caroline Porter,Salesperson
1094,SP01094,John Moore,Sales Associate
1095,SP01095,Deborah Wright,Senior Salesperson
1096,SP01096,Briana Thomas,Manager
1097,SP01097,Jacob Palmer,Salesperson
1098,SP01098,Morgan Fleming,Manager
1100,SP01100,Corey Myers,Sales Associate
1102,SP01102,Robert Randolph,Sales Associate
1103,SP01103,Benjamin Rivas,Manager
1104,SP01104,William Owens,Manager
1105,SP01105,Miguel Odonnell,Manager
1107,SP01107,Randall Trujillo,Salesperson
1110,SP01110,Travis Sutton,Senior Salesperson
1115,SP01115,Kevin Mitchell,Manager
1116,SP01116,Rhonda Heath,Manager
1117,SP01117,Erin Edwards,Salesperson
1119,SP01119,Craig James,Sales Associate
1120,SP01120,Terri Porter,Sales Associate
1122,SP01122,Sharon Hunt,Sales Associate
1123,SP01123,David York,Manager
1124,SP01124,Amanda Bowers,Sales Associate
1125,SP01125,Nicholas White,Sales Associate
1127,SP01127,Bobby Harrison,Manager
1130,SP01130,Kevin Jones,Sales Associate
1132,SP01132,David Sanchez,Senior Salesperson
1134,SP01134,Angela Rodriguez,Salesperson
1135,SP01135,Christina Bailey,Senior Salesperson
1136,SP01136,Paul Ruiz,Senior Salesperson
1140,SP01140,Danielle Gomez,Salesperson
1141,SP01141,Sherry Reyes,Sales Associate
1144,SP01144,Travis Weaver,Manager
1145,SP01145,Jacqueline Meyer,Senior Salesperson
1146,SP01146,Virginia Deleon,Manager
1149,SP01149,Michelle Peters,Manager
1150,SP01150,Trevor Carr,Manager
1152,SP01152,Kimberly Salazar,Manager
1154,SP01154,Olivia Mitchell,Salesperson
1155,SP01155,Stephen Hunter,Senior Salesperson
1156,SP01156,Joann Bell,Manager
1157,SP01157,Diana Travis,Manager
1158,SP01158,Timothy Scott,Manager
1159,SP01159,Eric Knight,Senior Salesperson
1161,SP01161,Jeremy Bradshaw,Salesperson
1162,SP01162,Kenneth Harmon,Manager
1163,SP01163,Justin Jacobs,Manager
1165,SP01165,Joe Rivera,Senior Salesperson
1166,SP01166,Jason Williams,Manager
1169,SP01169,Thomas Whitaker,Salesperson
1170,SP01170,Joanne Cardenas,Sales Associate
1171,SP01171,Ashley Williams,Sales Associate
1172,SP01172,Andrea Wood,Salesperson
1173,SP01173,Andrea Hendrix,Sales Associate
1174,SP01174,Justin Carrillo,Salesperson
1175,SP01175,Margaret Morrison,Senior Salesperson
1177,SP01177,Albert Sullivan,Manager
1178,SP01178,Ryan Holmes,Manager
1180,SP01180,Matthew Barrett,Senior Salesperson
1182,SP01182,Kimberly Pham,Manager
1184,SP01184,Vincent Wagner,Manager
1185,SP01185,Kevin Sampson,Manager
1186,SP01186,Margaret Brown,Senior Salesperson
1189,SP01189,Sarah Garcia,Sales Associate
1190,SP01190,Gerald Townsend,Salesperson
1192,SP01192,Eric Randall,Manager
1193,SP01193,Tina Ford,Manager
1195,SP01195,Eric Oliver,Sales Associate
1196,SP01196,Lindsey Good,Senior Salesperson
1197,SP01197,John Foster,Salesperson
1198,SP01198,Justin Jimenez,Manager
1199,SP01199,Kelly Murray,Sales Associate
1200,SP01200,Kyle Turner,Manager
1201,SP01201,Todd Shaw,Sales Associate
1202,SP01202,Nicolas Norman,Manager
1203,SP01203,William Clark,Salesperson
1204,SP01204,Debra Gibson,Salesperson
1205,SP01205,Randall Marshall,Senior Salesperson
1208,SP01208,Zachary Jones,Manager
1210,SP01210,Brian Hicks,Manager
1211,SP01211,Sarah Smith,Sales Associate
1212,SP01212,Joshua White,Senior Salesperson
1213,SP01213,Julie Turner,Salesperson
1214,SP01214,Ashley Nguyen,Senior Salesperson
1217,SP01217,Yolanda Hendrix,Manager
1218,SP01218,Nancy Robles,Salesperson
1219,SP01219,Sara Mendez,Sales Associate
1220,SP01220,Kathleen Francis,Senior Salesperson
1227,SP01227,Danielle West,Salesperson
1229,SP01229,Kyle Wood,Sales Associate
1230,SP01230,Mariah Johnson,Manager
1233,SP01233,Jessica Mathis,Senior Salesperson
1235,SP01235,Kathryn Bolton,Manager
1236,SP01236,Matthew Thompson,Manager
1237,SP01237,William Pratt,Senior Salesperson
1238,SP01238,Casey Williams,Sales Associate
1240,SP01240,Elizabeth Allen,Sales Associate
1244,SP01244,Stacy Henderson,Manager
1246,SP01246,Holly Gates,Senior Salesperson
1248,SP01248,Justin Wade,Manager
1249,SP01249,Katherine Johnson,Manager
1251,SP01251,Mathew Hall,Sales Associate
1252,SP01252,Jeffrey Castro,Sales Associate
1253,SP01253,Angela Martin,Sales Associate
1254,SP01254,Nancy Skinner,Sales Associate
1256,SP01256,James Price,Manager
1257,SP01257,Eric Nelson,Manager
1261,SP01261,Cynthia Ward,Sales Associate
1262,SP01262,Eric Ingram,Senior Salesperson
1264,SP01264,Andrew Marshall,Sales Associate
1265,SP01265,Robert Miller,Senior Salesperson
1266,SP01266,Robert Gonzalez,Salesperson
1267,SP01267,Caitlin Hernandez,Manager
1268,SP01268,Bethany Boyle,Salesperson
1269,SP01269,Amanda Thompson,Sales Associate
1270,SP01270,Eric Thompson,Salesperson
1272,SP01272,Katie Anderson,Sales Associate
1273,SP01273,Shawn Rodriguez,Sales Associate
1276,SP01276,Ryan Byrd,Manager
1278,SP01278,Matthew Phelps,Sales Associate
1279,SP01279,Willie Ramirez,Salesperson
1282,SP01282,Jeffrey Reyes,Senior Salesperson
1283,SP01283,Theresa Martin,Senior Salesperson
1285,SP01285,Jared Hopkins,Sales Associate
1286,SP01286,Samantha Gray,Manager
1287,SP01287,Elizabeth Fisher,Salesperson
1289,SP01289,Katherine Lucas,Salesperson
1290,SP01290,Julie Patrick,Sales Associate
1294,SP01294,Emily Walker,Manager
1295,SP01295,Monica Davis,Manager
1296,SP01296,Austin Pitts,Salesperson
1297,SP01297,Ariana Morrison,Sales Associate
1298,SP01298,David Chung,Manager
1299,SP01299,Miranda Meadows,Manager
1302,SP01302,William Roman,Manager
1303,SP01303,Kara Colon,Sales Associate
1304,SP01304,Kenneth Wright,Manager
1305,SP01305,William Clark,Senior Salesperson
1306,SP01306,Micheal Walker,Manager
1307,SP01307,Melissa Rodriguez,Sales Associate
1308,SP01308,Mary Johnson,Manager
1314,SP01314,Tracy Cox,Sales Associate
1316,SP01316,Heather Carlson,Senior Salesperson
1320,SP01320,Blake Taylor,Salesperson
1321,SP01321,Tony Payne,Salesperson
1322,SP01322,John Schwartz,Manager
1323,SP01323,Raymond Williams,Salesperson
1326,SP01326,John Johnson,Salesperson
1327,SP01327,Teresa Banks,Manager
1329,SP01329,Angel Hull,Sales Associate
1330,SP01330,Elizabeth Wolfe,Manager
1331,SP01331,Brian Gilmore,Manager
1332,SP01332,Gary Mills,Salesperson
1333,SP01333,Rodney Cox,Manager
1334,SP01334,Shawn Clark,Sales Associate
1336,SP01336,Stacey Foster,Senior Salesperson
1337,SP01337,Brandy Henry,Salesperson
1339,SP01339,Sarah Green,Manager
1340,SP01340,Steven Fowler,Salesperson
1341,SP01341,Nancy Griffith,Manager
1342,SP01342,Amber Price,Manager
1343,SP01343,Christopher Ford,Senior Salesperson
1344,SP01344,Justin Manning,Senior Salesperson
1345,SP01345,Ashley Nolan,Sales Associate
1347,SP01347,Pamela Howell,Manager
1348,SP01348,Ethan Stephens,Sales Associate
1349,SP01349,Kurt Klein,Sales Associate
1352,SP01352,William Cross,Salesperson
1355,SP01355,Natalie Kramer,Manager
1356,SP01356,Alyssa Wyatt,Manager
1357,SP01357,Heather Murphy,Manager
1359,SP01359,Joseph Garcia,Salesperson
1360,SP01360,Brandon Armstrong,Sales Associate
1361,SP01361,Raymond Welch,Senior Salesperson
1362,SP01362,Sharon Gray,Sales Associate
1363,SP01363,Kelly Green,Salesperson
1364,SP01364,Elizabeth Terrell,Salesperson
1365,SP01365,Karen Clark,Salesperson
1366,SP01366,Jennifer Thomas,Manager
1367,SP01367,Matthew Torres,Senior Salesperson
1368,SP01368,Brett Martin,Manager
1369,SP01369,Michael Bradley,Manager
1370,SP01370,Margaret Castro,Sales Associate
1371,SP01371,Adam Johnson,Manager
1373,SP01373,Adam Livingston,Manager
1374,SP01374,Michael Harris,Manager
1375,SP01375,Shane Dyer,Salesperson
1376,SP01376,Andrew Evans,Senior Salesperson
1378,SP01378,Helen Novak,Manager
1379,SP01379,Christopher Fernandez,Salesperson
1380,SP01380,Michael Bruce,Manager
1381,SP01381,Kim Calderon,Sales Associate
1384,SP01384,Annette Camacho,Manager
1385,SP01385,Michael Bridges,Senior Salesperson
1386,SP01386,Sandra Diaz,Manager
1388,SP01388,Alexa Malone,Manager
1389,SP01389,Sheri Walker,Manager
1391,SP01391,Natalie Ward,Manager
1392,SP01392,John Gamble,Salesperson
1395,SP01395,Sylvia Castillo,Senior Salesperson
1396,SP01396,Zachary Brown,Salesperson
1398,SP01398,Erika Glenn,Manager
1400,SP01400,John Silva,Manager
1401,SP01401,Mark Underwood,Senior Salesperson
1403,SP01403,Ryan Russell,Senior Salesperson
1404,SP01404,Stephen Clark,Manager
1405,SP01405,Jeff Foster,Salesperson
1406,SP01406,Kyle Clark,Senior Salesperson
1408,SP01408,Michael Anderson,Senior Salesperson
1410,SP01410,Kaitlin Ward,Sales Associate
1411,SP01411,Jeffery Lopez,Manager
1413,SP01413,Dawn Brown,Senior Salesperson
1414,SP01414,Amanda Christensen,Sales Associate
1416,SP01416,Shannon Pitts,Salesperson
1418,SP01418,John Anderson,Manager
1420,SP01420,Patricia Willis,Sales Associate
1422,SP01422,Eric Johnson,Manager
1423,SP01423,Jeremy Burton,Sales Associate
1425,SP01425,Dorothy Green,Salesperson
1427,SP01427,Yolanda Snyder,Salesperson
1429,SP01429,Carmen Bond,Manager
1430,SP01430,Thomas White,Manager
1431,SP01431,Manuel Hinton,Salesperson
1433,SP01433,Heather Bailey,Sales Associate
1434,SP01434,Christine Myers,Salesperson
1435,SP01435,Mitchell Clark,Manager
1436,SP01436,David Mccann,Salesperson
1441,SP01441,Rhonda Hubbard,Manager
1442,SP01442,Amy Huerta,Manager
1446,SP01446,Dylan Dickson,Sales Associate
1447,SP01447,Stephen Sanchez,Sales Associate
1448,SP01448,Carmen Stokes,Senior Salesperson
1449,SP01449,Dakota Brown,Sales Associate
1450,SP01450,Joyce Dunn,Manager
1452,SP01452,Paul Moore,Salesperson
1454,SP01454,Terry Schultz,Manager
1456,SP01456,Joshua Williams,Senior Salesperson
1457,SP01457,Jared Smith,Sales Associate
1458,SP01458,Toni Johnston,Senior Salesperson
1459,SP01459,Harold Macias,Senior Salesperson
1460,SP01460,Lisa Horton,Salesperson
1461,SP01461,Traci Brooks,Sales Associate
1462,SP01462,Victoria Ramos,Sales Associate
1463,SP01463,Raymond Marquez,Salesperson
1464,SP01464,Lori Anderson,Manager
1465,SP01465,Kelly Cole,Sales Associate
1466,SP01466,Jason Davis,Salesperson
1469,SP01469,Daniel Hart,Salesperson
1471,SP01471,Javier Johnson,Sales Associate
1472,SP01472,Edward Contreras,Sales Associate
1475,SP01475,Erica Freeman,Manager
1477,SP01477,Jessica Scott,Manager
1478,SP01478,Edward Ho,Senior Salesperson
1479,SP01479,Sonya Meza,Senior Salesperson
1480,SP01480,Peter Flowers,Salesperson
1481,SP01481,Andrew Ross,Sales Associate
1483,SP01483,Heather Barajas,Sales Associate
1484,SP01484,Debra Caldwell,Senior Salesperson
1485,SP01485,Derek Torres,Salesperson
1486,SP01486,Kimberly Wallace,Manager
1488,SP01488,Jason Vaughn,Manager
1489,SP01489,Daniel Martin,Sales Associate
1491,SP01491,Victor Gay,Senior Salesperson
1492,SP01492,Shannon Thompson,Senior Salesperson
1493,SP01493,Raymond Hernandez,Manager
1494,SP01494,Rebecca Erickson,Senior Salesperson
1495,SP01495,Natasha Harrison,Salesperson
1499,SP01499,Shirley Schmidt,Manager
1500,SP01500,Mitchell Green,Manager
1501,SP01501,Susan Kelly,Manager
1502,SP01502,Raymond Griffith,Senior Salesperson
1504,SP01504,Tina Nichols,Sales Associate
1506,SP01506,James Gilbert,Senior Salesperson
1507,SP01507,Taylor Lewis,Salesperson
1508,SP01508,Spencer Rowland,Salesperson
1511,SP01511,Richard Scott,Sales Associate
1512,SP01512,Julie Wells,Manager
1514,SP01514,Joseph Forbes,Salesperson
1516,SP01516,Catherine Ellison,Sales Associate
1517,SP01517,Christine Yu,Sales Associate
1520,SP01520,Sergio Castro,Sales Associate
1522,SP01522,Samantha Campos,Manager
1526,SP01526,Andrew Smith,Sales Associate
1527,SP01527,Elizabeth Ryan,Salesperson
1528,SP01528,Nathan Lee,Manager
1529,SP01529,Kelly Strong,Manager
1531,SP01531,Dennis Parker,Sales Associate
1534,SP01534,Angelica Garcia,Manager
1535,SP01535,Melissa Gibson,Sales Associate
1536,SP01536,Ryan Davis,Manager
1537,SP01537,Aaron Green,Sales Associate
1538,SP01538,Jennifer Tanner,Sales Associate
1540,SP01540,Earl Hayes,Manager
1541,SP01541,Christopher Rogers,Sales Associate
1542,SP01542,Chad Brown,Sales Associate
1543,SP01543,Kristina Guerrero,Senior Salesperson
1546,SP01546,Eileen Obrien,Manager
1549,SP01549,Joshua Johnson,Senior Salesperson
1550,SP01550,Stephen Jimenez,Manager
1551,SP01551,Sandra Cain,Manager
1552,SP01552,Christine Martin,Manager
1554,SP01554,Leslie Hunter,Salesperson
1555,SP01555,Rita Briggs,Sales Associate
1557,SP01557,Ashley Burke,Manager
1558,SP01558,Eric Gonzalez,Manager
1559,SP01559,Amanda Murray,Sales Associate
1561,SP01561,James Kelly,Manager
1562,SP01562,Stephen Russell,Manager
1563,SP01563,Carl Hernandez,Manager
1568,SP01568,Patricia Frank,Sales Associate
1569,SP01569,Nancy Williams,Salesperson
1570,SP01570,Robin Wiley,Salesperson
1572,SP01572,Kathryn Brown,Manager
1573,SP01573,Dawn Gonzalez,Sales Associate
1574,SP01574,Yvette Cook,Manager
1575,SP01575,Brandy Mitchell,Salesperson
1576,SP01576,Susan Strickland,Senior Salesperson
1579,SP01579,Edward Summers,Salesperson
1580,SP01580,Jennifer May,Sales Associate
1582,SP01582,Carolyn Wallace,Manager
1583,SP01583,Pamela Black,Manager
1585,SP01585,Paul Wood,Manager
1586,SP01586,David Landry,Manager
1588,SP01588,Michelle Graham,Salesperson
1589,SP01589,Scott Perez,Sales Associate
1590,SP01590,Taylor Harris,Salesperson
1591,SP01591,Howard Hudson,Manager
1593,SP01593,Anthony Alvarado,Senior Salesperson
1594,SP01594,Theresa Key,Sales Associate
1595,SP01595,Nicolas Fox,Senior Salesperson
1597,SP01597,Michael Davis,Manager
1598,SP01598,Elizabeth Baker,Senior Salesperson
1601,SP01601,Peter Snyder,Senior Salesperson
1602,SP01602,Sara Nelson,Salesperson
1603,SP01603,Anita Sawyer,Sales Associate
1604,SP01604,Philip Davis,Senior Salesperson
1606,SP01606,Holly Brown,Manager
1608,SP01608,Angelica Rivera,Manager
1609,SP01609,John Taylor,Salesperson
1610,SP01610,Christopher Nichols,Senior Salesperson
1611,SP01611,Kathleen Moore,Senior Salesperson
1613,SP01613,Ryan Reilly,Salesperson
1614,SP01614,Kyle Jarvis,Manager
1616,SP01616,Jasmin Miller,Senior Salesperson
1617,SP01617,Mark Scott,Manager
1619,SP01619,Chad Garcia,Sales Associate
1620,SP01620,Michael Liu,Senior Salesperson
1621,SP01621,Rachel Gonzalez,Manager
1622,SP01622,Sara Lozano,Senior Salesperson
1623,SP01623,Donna Tate,Salesperson
1624,SP01624,Michael Mason,Sales Associate
1625,SP01625,Katherine Mcbride,Manager
1627,SP01627,William Romero,Salesperson
1628,SP01628,George White,Senior Salesperson
1630,SP01630,Lisa Mitchell,Senior Salesperson
1632,SP01632,Jeffrey Ross,Sales Associate
1635,SP01635,Kelsey Owens,Salesperson
1637,SP01637,Angela Dickerson,Manager
1640,SP01640,Victoria Miller,Manager
1643,SP01643,Amber Marshall,Salesperson
1644,SP01644,Dawn Norman,Salesperson
1647,SP01647,Stephanie Hooper,Salesperson
1648,SP01648,Derek Jones,Sales Associate
1651,SP01651,James Johnson,Senior Salesperson
1652,SP01652,Eric Bennett,Salesperson
1654,SP01654,Charles Nelson,Manager
1656,SP01656,Tara Peterson,Manager
1657,SP01657,Eugene Edwards,Sales Associate
1658,SP01658,Sandra Butler,Manager
1659,SP01659,Joseph Gomez,Senior Salesperson
1660,SP01660,Jenna Cantrell,Salesperson
1663,SP01663,Krista Bates,Senior Salesperson
1664,SP01664,Travis Hughes,Manager
1665,SP01665,Margaret Lee,Manager
1666,SP01666,Lindsey Torres,Senior Salesperson
1668,SP01668,Robert Patterson,Manager
1670,SP01670,Tara Miller,Manager
1673,SP01673,Kenneth Willis,Salesperson
1674,SP01674,Dennis Thomas,Manager
1675,SP01675,Christopher Mcclure,Sales Associate
1676,SP01676,Tanya Perry,Salesperson
1677,SP01677,Luke Brown,Manager
1678,SP01678,Christopher Wood,Manager
1682,SP01682,Kevin Gonzalez,Sales Associate
1683,SP01683,Mathew Singleton,Salesperson
1685,SP01685,Jose Lewis,Sales Associate
1687,SP01687,Brian Moore,Sales Associate
1688,SP01688,Ryan Miranda,Manager
1690,SP01690,Matthew Preston,Sales Associate
1693,SP01693,Rebecca Wilson,Senior Salesperson
1694,SP01694,Kevin Boyd,Manager
1695,SP01695,Jennifer Figueroa,Sales Associate
1696,SP01696,Alyssa Maldonado,Manager
1697,SP01697,Andrea Joseph,Salesperson
1701,SP01701,Samantha Patterson,Manager
1703,SP01703,Samantha Weaver,Salesperson
1705,SP01705,Billy Thompson,Sales Associate
1706,SP01706,Morgan Mcintyre,Manager
1708,SP01708,Travis Poole,Senior Salesperson
1709,SP01709,Samantha Koch,Sales Associate
1717,SP01717,Keith Lang,Sales Associate
1718,SP01718,Haley Lopez,Senior Salesperson
1719,SP01719,John Davis,Salesperson
1721,SP01721,Jill Johnson,Senior Salesperson
1722,SP01722,Lisa Davis,Senior Salesperson
1723,SP01723,Michele Jones,Senior Salesperson
1725,SP01725,Jonathan Navarro,Sales Associate
1726,SP01726,Brooke Clark,Sales Associate
1727,SP01727,Christine Bryan,Salesperson
1731,SP01731,Jimmy Manning,Manager
1732,SP01732,Kaitlyn Watson,Manager
1734,SP01734,Sharon Lewis,Salesperson
1735,SP01735,Sandra Hoffman,Sales Associate
1736,SP01736,Katie Moore,Sales Associate
1739,SP01739,Elizabeth Fuentes,Manager
1740,SP01740,Michael Norris,Senior Salesperson
1742,SP01742,Eduardo Hines,Salesperson
1743,SP01743,Ruth Miller,Manager
1744,SP01744,Sarah Moore,Senior Salesperson
1745,SP01745,Kyle Jackson,Manager
1746,SP01746,Julie Brown,Salesperson
1748,SP01748,Charles Vance,Senior Salesperson
1750,SP01750,Kathryn Ruiz,Manager
1751,SP01751,Curtis Kelley,Salesperson
1752,SP01752,Marco Khan,Sales Associate
1753,SP01753,Leslie Page,Manager
1754,SP01754,Valerie Smith,Sales Associate
1756,SP01756,Robin Smith,Sales Associate
1758,SP01758,Lisa King,Sales Associate
1759,SP01759,Paul Ray,Manager
1760,SP01760,William Ellis,Senior Salesperson
1761,SP01761,Christopher Price,Sales Associate
1762,SP01762,Robert Sanchez,Sales Associate
1763,SP01763,Amanda Schmidt,Salesperson
1764,SP01764,Tamara Ramirez,Manager
1765,SP01765,Jessica Campos,Manager
1766,SP01766,Steven Jenkins,Manager
1767,SP01767,Lori Edwards,Senior Salesperson
1768,SP01768,Jim Wiley,Manager
1770,SP01770,Patrick Simmons,Sales Associate
1772,SP01772,Justin Wang,Salesperson
1774,SP01774,Victor Andrade,Manager
1775,SP01775,Adam Miller,Manager
1776,SP01776,Brian Johnson,Manager
1778,SP01778,Chad Levine,Manager
1780,SP01780,Alexandra Wade,Salesperson
1783,SP01783,Jacqueline Jackson,Salesperson
1784,SP01784,Kenneth Christian,Salesperson
1786,SP01786,Laura Love,Manager
1788,SP01788,Michelle Maynard,Manager
1789,SP01789,Andrea Wu,Manager
1790,SP01790,Katherine Chavez,Senior Salesperson
1791,SP01791,John Taylor,Sales Associate
1793,SP01793,Jennifer Hensley,Senior Salesperson
1794,SP01794,Lisa Hicks,Manager
1795,SP01795,Bryan Peters,Salesperson
1797,SP01797,Megan Daniel,Manager
1798,SP01798,John Preston,Sales Associate
1800,SP01800,Nathan Morris,Salesperson
1802,SP01802,Brittany Johnson,Senior Salesperson
1803,SP01803,Eric Gonzalez,Salesperson
1805,SP01805,Susan Wall,Manager
1806,SP01806,Stephen Prince,Sales Associate
1807,SP01807,Angel Glover,Senior Salesperson
1809,SP01809,Christopher Elliott,Manager
1810,SP01810,Kristen Bailey,Sales Associate
1813,SP01813,Sarah Cain,Salesperson
1818,SP01818,Peggy Smith,Manager
1819,SP01819,David Brewer,Manager
1820,SP01820,Joshua Francis,Manager
1822,SP01822,Tammy Martinez,Senior Salesperson
1823,SP01823,Thomas Scott,Sales Associate
1824,SP01824,Shelley White,Manager
1825,SP01825,Dana Beck,Salesperson
1826,SP01826,Johnathan Smith,Manager
1827,SP01827,Martin Gonzales,Sales Associate
1828,SP01828,Renee Torres,Sales Associate
1830,SP01830,Rebecca Bartlett,Manager
1832,SP01832,Randy Gonzalez,Senior Salesperson
1833,SP01833,Courtney Patterson,Senior Salesperson
1834,SP01834,Roy Ellison,Manager
1835,SP01835,Virginia Marshall,Manager
1839,SP01839,Thomas Brown,Sales Associate
1842,SP01842,Jason Bell,Sales Associate
1844,SP01844,Charles Garcia,Senior Salesperson
1845,SP01845,Mary Whitehead,Salesperson
1846,SP01846,Tristan Farley,Sales Associate
1847,SP01847,Matthew Edwards,Sales Associate
1849,SP01849,Lauren Mejia,Senior Salesperson
1850,SP01850,Heather Ortega,Manager
1853,SP01853,Glen Hensley,Senior Salesperson
1857,SP01857,Maria Ford,Manager
1859,SP01859,Kimberly Scott,Manager
1860,SP01860,Shawn Rodriguez,Manager
1861,SP01861,Samuel Ortiz,Manager
1862,SP01862,Shannon Drake,Manager
1864,SP01864,Tyler Moss,Manager
1865,SP01865,Raymond Wagner,Sales Associate
1866,SP01866,Curtis Delgado,Manager
1867,SP01867,Michael Wolf,Manager
1868,SP01868,Colleen Ortega,Salesperson
1870,SP01870,Jonathan Johnson,Manager
1872,SP01872,Richard Scott,Manager
1873,SP01873,Margaret Jackson,Salesperson
1874,SP01874,Michelle Gonzalez,Salesperson
1875,SP01875,Kimberly Jones,Senior Salesperson
1878,SP01878,Alexandra Smith,Manager
1880,SP01880,Julian Clark,Senior Salesperson
1881,SP01881,Miguel Williams,Manager
1885,SP01885,Daniel Greene,Senior Salesperson
1886,SP01886,Brittney Gallagher,Salesperson
1887,SP01887,Luis Ross,Senior Salesperson
1888,SP01888,Mark Rogers,Sales Associate
1890,SP01890,Sherry Rogers,Senior Salesperson
1892,SP01892,Elizabeth Mcdonald,Manager
1894,SP01894,Kathleen Wilson,Manager
1895,SP01895,Sophia Huynh,Senior Salesperson
1896,SP01896,Meghan Hernandez,Sales Associate
1897,SP01897,Gregory Harrison,Salesperson
1899,SP01899,Daniel Sexton,Salesperson
1900,SP01900,Laura Byrd,Manager
1901,SP01901,Gregory Chavez,Senior Salesperson
1902,SP01902,Hailey Goodman,Salesperson
1904,SP01904,Logan Anderson,Manager
1905,SP01905,Anthony Perez,Salesperson
1906,SP01906,James Adkins,Manager
1907,SP01907,John Hernandez,Senior Salesperson
1909,SP01909,Valerie Bird,Senior Salesperson
1911,SP01911,Nicole Martin,Sales Associate
1912,SP01912,Patricia Goodwin,Salesperson
1914,SP01914,Aaron Lopez,Senior Salesperson
1915,SP01915,Robert Davis,Sales Associate
1917,SP01917,Amanda Johnson,Manager
1921,SP01921,Rhonda Jones,Manager
1922,SP01922,Priscilla Nelson,Salesperson
1924,SP01924,Jodi Glover,Manager
1925,SP01925,Gloria Dominguez,Salesperson
1926,SP01926,Mason Austin,Manager
1928,SP01928,Barry Rodriguez,Manager
1929,SP01929,Anna Trevino,Manager
1930,SP01930,April Burns,Senior Salesperson
1932,SP01932,Stephanie Vega,Senior Salesperson
1933,SP01933,Donald Sullivan,Sales Associate
1934,SP01934,Nicole Simpson,Salesperson
1936,SP01936,Devon Jackson,Sales Associate
1938,SP01938,Dana Gonzalez,Manager
1939,SP01939,Sherri Roberts,Salesperson
1940,SP01940,Jennifer Ware,Senior Salesperson
1941,SP01941,Heather Finley,Sales Associate
1942,SP01942,Steven Gutierrez,Sales Associate
1944,SP01944,Abigail Williams,Manager
1946,SP01946,James Shepherd,Salesperson
1947,SP01947,Janice Soto,Sales Associate
1948,SP01948,Jasmine Grant,Manager
1950,SP01950,Gerald Sanchez,Senior Salesperson
1951,SP01951,Courtney Ford,Manager
1952,SP01952,Cynthia Johnson,Salesperson
1953,SP01953,Vanessa West,Salesperson
1956,SP01956,Holly Gonzales,Manager
1958,SP01958,Robert Smith,Manager
1960,SP01960,April Fuentes,Sales Associate
1962,SP01962,Barry Castaneda,Manager
1963,SP01963,Brandon Skinner,Sales Associate
1964,SP01964,Sharon Day,Sales Associate
1965,SP01965,Brian Phillips,Salesperson
1968,SP01968,Lisa Gallagher,Senior Salesperson
1969,SP01969,Patrick Reid,Salesperson
1971,SP01971,Scott Schaefer,Sales Associate
1973,SP01973,Alexis Holt,Manager
1974,SP01974,George Gaines,Senior Salesperson
1975,SP01975,Mary Bell,Manager
1976,SP01976,Veronica Howe,Sales Associate
1979,SP01979,Todd Reid,Manager
1980,SP01980,Willie Montoya,Manager
1981,SP01981,Rachel Mitchell,Manager
1982,SP01982,Whitney Schroeder,Senior Salesperson
1983,SP01983,Bryan Thompson,Manager
1984,SP01984,Jessica Obrien,Manager
1985,SP01985,Leah Craig,Sales Associate
1986,SP01986,Geoffrey Allen,Manager
1988,SP01988,Samantha Stephens,Sales Associate
1991,SP01991,David Humphrey,Manager
1994,SP01994,Erica Russell,Sales Associate
1996,SP01996,Carla Ramsey,Sales Associate
1997,SP01997,Kimberly Brown,Senior Salesperson
1998,SP01998,Elizabeth Greene,Salesperson
1999,SP01999,Susan Garcia,Sales Associate
